NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,435.18306809514206
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,454.4480303359414
b38a03232f43b11c9d0788abaf060f7366053b6d,548.3307840528507
70b682d9a3636be23f6120fa9d6b164eb3c6002d,1.1293094490770628
715494628a50142ce8cb17191cfe6d0f3cae0934,539.6753823210531
e656d6bad65c93fb2880f1eba5037008c8e75774,467.96564505238024
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,557.421978521269
11539e86171bf07d3a36f09377d7f54ebcc8406a,428.6660723230864
043c544a2104aa8a9849f1a703a08d37a2f16839,484.6843668649977
76ba050e64ad100b856f0eaabd8f539d5c7dd185,467.06629661141517
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-3.772925679254932
db4da599aab5bb08dce27094a35fd3e36cd0abce,-0.9331729382671696
940aede382ccb332fab15d413217695ec44ca765,466.54998152479254
9ad714b116da76d878dd399d187fccc2dd13dd63,541.3141776653924
dd34464a4d780b12a089347ad580418ac57a3055,514.95332424237
f837a4cb05a5fd59d20138182f5e8c721eadd584,508.2042677772044
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,6.285365969456773
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.33687230314321326
8b0c675d7fde14953668269d378c588f0df0498b,2.8842001532566073
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,399.96985145998525
3d203727f27abd83b71732d88d8cb1cc099f363b,435.8559276484059
d30d31c8ff45094e9a992c63d4a6f68b245a341a,69.25227738404611
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-1.5263758709439799
cbc301183dec912f3513ca766bf03dd565f3a38f,502.29617537729683
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,610.7683445106445
11282da1ee78c8db45a041db4c744e33df489df0,452.87621510326665
03c67f683a415c2ea09b582248bd4cb08528c19d,581.5356496906363
046e844fb06a07ba30b41521f0065a8d9c6e5024,394.69545904533544
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,451.335153549423
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,4.6987034458592944
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-4.194396805637226
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,416.6466899730771
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,553.1127835973739
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,500.4256350446697
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,531.153379879514
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,469.8698476820591
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,475.8148476452923
59bfa081e020013410d9f60f91813964ba749bb2,439.6281956275178
f5e069ee3bc95998464e8ff5da048b7f999921ed,417.56395420886406
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,590.6537947154575
664f44258212a1f7e4086f2b4845d586c543fa3f,487.95592071389575
265cd7befa74a9f2a198fc57baec9858075f8419,424.12124968674306
6f9ac44919bbd204e0ef15185388fd2d4bc61253,502.03282723957096
78de1ee60b55766cc3eba4089e36c57139b66ebd,463.8613298204374
24550edb10f283ef4e953fd6a8fedbfa211bd456,-2.0041051947435236
1e61a474acdc043eb39a89c17fab34bd2ea1a940,431.4799779243692
940af68ded6af2875708611051aa7ff3f134d80b,502.8110466584721
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,482.1756660147612
c76ddf6e9f80984e901b12f9462a3cf029bea290,492.4508954351224
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,474.6241053429709
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,68.43769124516392
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,42.84331993375409
92823d467a2ced9529801e0e8a94802dd88f0c17,454.89060604790876
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,588.9043974924843
413cbb38b2e2522f8167ffb9daeac1347b281393,491.70238974120065
68985fad004092956a4b4ce94dd53dc76d07eaf7,513.8364161524316
bdca9aeb19521675af15f2c28d86f6bebc45a834,505.40050219043104
b65b19d42b7a4b644fe9f99366dcb37b120862d9,421.74774970383083
eda898aa8ec465cbac70de72ead0c6d688e5f95a,455.8501530809798
5357b6c09be4c7f3829b72f80de846a9228253cb,-1.5421519273786473
8d5c4481d736f6ce27976e400f4245bf10757608,440.24778691261383
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,-5.404931460656854
089613ac7dca24109f84c72a97c83b2768b1df1c,-0.9725835610115823
527773409bf373301dbd835e59a263c035c043b8,-2.604513944780642
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-0.5763259856539946
c4cea54435c0fd0e171eed4c215479bb3ca86113,460.46143088313084
7d5cd89c6112b9a202a025a24355135bc60848c6,488.8177740641617
b70ab62384aa80545928a311f5b5d3db2f4d87ee,539.5414415291036
c96431dd924f366d2229a7f1455388b8cd85be49,584.2989575252361
1b72da5bb82cc150ecfe71218c02f155d694230b,-4.814439747087668
e429507efe1c2680cc464481850117d17083cd88,-5.426316357263808
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,435.2272325063161
e724482370ae6126008ade80b564ad8d8a0a7cbd,467.9051570472771
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,577.131528143911
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,-2.900035836460141
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,503.38875291287394
7f898f8939ae054359f83ee154bb91bc7dd2c959,555.2360144819354
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,459.94181741307494
82e3b12c6366008fabc238f299f117074e78de5d,401.7733501463206
0d838be0e718ceb786cdb10fcc12559e00440240,530.9556614970934
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,469.7065242700041
5a9d89465845ac2d81366275cbb1a81d627efd36,4.629709411811586
c83fe640ba466ba904ac1055e53a875289888797,447.8756859873079
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,483.0619875016276
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,395.4004925719617
328639a0c753715c30a58bae70c82f2101153eb3,457.2317572508863
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,1.6579816735275585
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,542.5971933529988
f56746cc2900258507d2b32c126f8db090db856f,458.84305633135693
1a4963b5fea8bb25c67750cdafbe84b01efad177,426.5552165931324
b520c940e62f4ed684417e7eacf00d85752060da,466.5985465588998
2e170cf2651ed448991af6fc5df15167733b2d8f,499.6641989004566
6efdd93a0ae289be6bb5a400bfc1deb077d75886,409.21452815696483
72ac2acc787d8cba0934cca3810ac091d792c8db,529.6822142173751
92a25eee14554806f081869cc9dac868fd1860fb,457.38749238857673
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,409.9025710261405
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,466.0176276384321
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,555.2094946209361
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,458.80730565958345
1730807e4916c5f7e8ab21e02ac5657bcea3e732,2.309903203847419
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,467.63213176510106
1a46d99716282410d1170f0f35069b34e34415d4,423.2856134637362
0467e022da4ef897f666bc76f31e1bc8976f7e92,514.0511152935128
993aca0d5eac6741117947c82a3647102096255e,465.3176282096764
94c96ade6ade21deb080bba6aad537fc4f195d47,501.9482275940746
36bb672077a46a3e4755cef90437a616d28bdf23,431.24945516799994
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,376.6658356365654
328ca19128d276eb4fbc309c54ec7f346c803d2f,686.578830392252
27cdb62f0a2a5467efeb30aafbf246ed2320c532,368.24718943716323
c52cae37c3653620bbec72264c502f45ca2a8671,-9.281514787337962
f9ef2695eb0986666093945894b8f2fee351bf22,519.3173927270996
2178c497293d0cab01ce74f5105b1a398fb12d8e,-3.72622848907238
e21faa0c07406dde71ec02f266b19b314ba8b0e2,-0.12182565376097187
8a021391cdaac100dab56c59284bd50137a74129,547.0969958178916
12ee0df69325d97cb95404958c4acf4112aeab8a,-13.414010219382408
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,505.8656032726088
66cf0f8b5af2466f9616fd15c0c10344df84982a,2.8996953155183895
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,487.30282370054744
60edc5708acd60680891ea15379dd07c7a5924ff,-4.728881185996794
b9f786712775e0d1d735398d710b01f404c985a3,409.5548766692386
564958997e204bda06fbe90afc4722805c78a855,560.3457333326603
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,411.66682056191775
527098f4ee3ceb5c393981930d23b8fe154f4db9,-10.624000995999538
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,493.75034674784246
8296743fdd105ce9183561cf5b359b0a3781465e,444.5490503972161
a3b79e8c739832c77df2ba6bcdb23a7518155a33,1.7795524877467912
6602c7f15a1fdd082265b64976448c6809df792d,464.3053977245806
31ae66f0fe024acae4490915c348e487f2367574,506.90100227298825
81901aa980653106e64863d957387d24e2c00af3,401.67277970138986
28e10d1bd0b6effe0edd503446ebda948ad240ad,432.5454732303765
53a7ee52a87f80241e2ca13c923e06b72bf3a059,412.63553829794785
50be5f75fdaedae454b0c3d63b7277854bd08d8f,43.394406591003744
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,-2.35068450680242
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,578.7977312088829
